OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
94,Point,94,Upstate,Greenville,Private,White Oak Baptist Church Kindergarten,Greenville,'Infant-K5,<10,1,greenville,white oak baptist church kindergarten,"1805 WADE HAMPTON BLVD, GREENVILLE, SC 29609",34.87734,-82.363921,both
95,Point,95,Upstate,Greenville,Private,Edward Rd Baptist Church Kindergarten,Greenville,'Babies-K5,10,0.9,greenville,edward rd baptist church kindergarten,"1050 EDWARDS RD, GREENVILLE, SC 29615",34.88485,-82.338051,both
96,Point,96,Upstate,Greenville,Private,John Knox Weekday Kindergarten,Greenville,'Infants - K5,11,0.818,greenville,john knox weekday kindergarten,"35 SHANNON DR, GREENVILLE, SC 29615",34.879306,-82.342538,both
97,Point,97,Upstate,Greenville,Private,Westminster Weekday School,Greenville,'Crib-5K,11,1,greenville,westminster weekday school,"2310 AUGUSTA ST, GREENVILLE, SC 29605",34.82223,-82.391481,both
98,Point,98,Upstate,Greenville,Private,Furman University Child Development Center,Greenville,'3K-5K,12,0.917,greenville,furman university child development center,"1501 DUNCAN CHAPEL RD, GREENVILLE, SC 29617",34.918902,-82.44527,both
99,Point,99,Upstate,Greenville,Private,First Baptist Day School,Greenville,'Infants-K5,12,1,greenville,first baptist day school,"847 CLEVELAND ST, GREENVILLE, SC 29601",34.832263,-82.380234,both
100,Point,100,Upstate,Greenville,Public,Aldersgate CDC,Greenville,'K5,15,0.933,greenville,aldersgate cdc,"7 Shannon Dr, Greenville, SC 29615",34.882622,-82.345429,left_only
101,Point,101,Upstate,Greenville,Private,BEST Skills Academy,Greenville,'5-9,15,1,greenville,best skills academy,"28 BOLT ST, GREENVILLE, SC 29605",34.83389,-82.410971,both
102,Point,102,Upstate,Greenville,Private,First Presbyterian Academy - Downtown Campus,Greenville,'K3-K5,15,1,greenville,first presbyterian academy - downtown campus,"200 W Washington St, Greenville, SC 29601",34.851879,-82.40081,left_only
103,Point,103,Upstate,Greenville,Private,Taylors First Baptist Church Kindergarten,Taylors,'K5,20,0.9,greenville,taylors first baptist church kindergarten,"Side of Building, 200 W Main St, Taylors, SC 29687",34.920616,-82.3026,left_only
104,Point,104,Upstate,Greenville,Private,Montessori School of Mauldin,Mauldin,'6 weeks - 6th gr,32,0.813,greenville,montessori school of mauldin,"205-B E BUTLER RD, MAULDIN, SC 29662",34.782199,-82.301445,both
105,Point,105,Upstate,Greenville,Private,Conestee Baptist Day School,Conestee,'K5-12,34,0.824,greenville,conestee baptist day school,"145 2ND ST, CONESTEE, SC 29636",34.7653,-82.3517,both
106,Point,106,Upstate,Greenville,Private,Abundant Life Christian School,Greenville,'K4-8,44,0.795,greenville,abundant life christian school,"630 FARRS BRIDGE RD, GREENVILLE, SC 29611",34.897272,-82.475876,both
